"","i","j","x"
"164",74,125,-0.189237257027089
"165",78,125,0.0314449786816149
"166",90,125,0.0564154935588538
"167",100,127,-0.112640079766165
"168",44,128,0.247377917328035
"169",120,128,0.551503181780142
"170",15,130,0.329547650858383
"171",46,130,0.0260165505154633
"172",128,130,0.0170528473476992
"173",26,131,-0.0376376684836722
"174",57,131,0.257432330731148
"175",70,131,-0.0300294015749831
"176",29,132,0.0694151936448992
"177",79,132,0.321968575704328
"178",9,133,-0.203108683992946
"179",46,133,0.0244505097937542
"180",55,133,0.0353579761143585
"181",113,133,0.0282430318798333
"182",89,134,0.00686833653318236
"183",114,134,0.54380407405939
"184",38,135,0.0223022115419247
"185",79,135,0.0383469707588863
"186",106,135,-0.0132811528644659
"187",117,135,0.424383100120565
"188",37,136,0.00908281614761597
"189",120,137,0.466308338564123
"190",128,137,0.0645440772324604
"191",82,138,0.075663603169405
"192",36,139,0.0538953148334854
"193",113,139,0.278080858776217
"194",136,139,0.225680792822711
"195",109,140,0.0987480126471748
"196",123,140,0.0821441479910112
"197",45,141,-0.160336592721033
"198",103,141,0.181988349928989
"199",138,141,-0.0816920440197323
"200",32,142,-0.302127048899891
"201",70,142,0.0677173688300702
"202",141,142,-0.107386649508847
"203",5,143,0.0846966165333464
"204",62,143,-0.138241978105986
"205",89,144,0.149181076220071
"206",143,144,-0.106994775604942
"207",59,145,0.167926815763433
"208",135,145,0.0345660160972642
"209",137,145,0.0328082158551806
"210",8,146,0.248866231522749
"211",51,146,0.149791685914472
"212",10,147,-0.0833294654057394
"213",81,147,-0.266412837538116
"214",90,147,0.153206876075696
"215",127,148,0.565478434648089
"216",120,149,0.249802831817361
"217",36,150,-0.0559130968764965
"218",39,150,0.0130284629788498
"219",75,150,-0.196350412940135
"220",127,150,0.0327546166211927
"221",50,152,-0.00507897085281439
"222",68,152,-0.0552601221327155
"223",30,153,0.0205095444398228
"224",32,153,0.0747418105708617
"225",82,153,-0.100390854971566
"226",106,153,-0.0541374760512752
"227",92,154,0.331710965240543
"228",95,154,0.127718771177218
"229",50,155,0.125960328326113
"230",109,155,0.202939012357321
"231",130,155,0.0148169643812296
"232",54,156,0.02248528145504
"233",84,156,-0.0579228850088064
"234",29,157,0.170085228021305
"235",64,158,0.294777149983138
"236",62,159,-0.0966789857075067
"237",138,159,0.252021789272935
"238",141,159,-0.0732012313304883
"239",152,159,0.283440192441894
"240",36,160,0.277955634798974
"241",102,160,-0.108201680972274
"242",136,160,0.0504904677185251
"243",76,161,0.105595798723172
"244",79,161,0.106567803824505
"245",98,161,0.216908672666995
"246",132,161,0.00267215635814794
"247",157,161,0.014218938434134
"248",38,162,0.0885815941036009
"249",114,162,0.153958383533574
"250",135,162,0.0202876145021794
"251",151,162,0.0210811821910541
"252",45,163,0.11114331682156
"253",90,164,0.0170873368305309
"254",92,164,0.328013918639626
"255",96,164,0.139296622380694
"256",1,165,0.353084279652153
"257",28,165,-0.107008388788151
"258",33,165,0.133438424862129
"259",69,165,0.158933409184785
"260",70,165,-0.0653924632183268
"261",122,165,0.0598768533932984
"262",31,166,0.226333081355501
"263",119,166,-0.0250744484318988
"264",123,166,0.0291425526790412
"265",28,167,-0.0164756716959393
"266",30,167,0.161480853662069
"267",33,167,0.124915746281789
"268",92,167,0.0922915989386839
"269",129,167,0.105273206935049
"270",165,167,0.11458951148961
"271",33,168,0.0059465063788145
"272",85,168,-0.0178192289247247
"273",95,168,0.0716972240998009
"274",100,168,-0.0286095389733853
"275",110,168,-0.116042589703478
"276",19,169,0.0801884786001418
"277",68,170,0.000966871719699725
"278",148,170,0.360582342104563
"279",151,170,0.0105329012398567
"280",127,171,0.056974247103726
"281",24,172,-0.0540036396381916
"282",30,172,-0.0462618842465857
"283",64,172,0.0199904146056017
"284",114,172,-0.142619747903725
"285",22,173,0.0995028398682222
"286",61,173,0.222350429878632
"287",97,173,0.389280404103491
"288",119,174,-0.0126278687578426
"289",169,174,0.309812425381021
"290",26,175,-0.248087113377643
"291",115,176,0.0399630719807054
"292",74,177,0.120086890577454
"293",121,177,0.00745747053375051
"294",123,177,0.0375155765699355
"295",155,177,0.0974577337906349
"296",11,178,0.00788923776355144
"297",109,178,0.0723851097345624
"298",147,178,0.0440408009174538
"299",91,179,-0.0725737938288518
"300",99,179,0.0633360361978328
"301",105,179,0.130415006369514
"302",141,179,0.0080882055463426
"303",39,181,0.179177166666605
"304",43,181,0.113009089557058
"305",102,181,0.135205087627867
"306",107,181,0.0367731254663818
"307",67,182,0.0548095246816586
"308",126,182,0.0314870970588026
"309",162,182,-0.158780252048959
"310",11,183,-0.0707384779661127
"311",58,183,0.15691702988233
"312",62,183,-0.35789335325499
"313",94,183,0.0127568031557512
"314",139,183,-0.00945570518825711
"315",156,184,-0.092016648052425
"316",161,184,0.0512205531631086
"317",49,185,0.0276752434902302
"318",59,186,0.0265577213124464
"319",6,187,0.0842756415807123
"320",12,187,0.158477626215216
"321",30,187,-0.091147797443799
"322",35,187,-0.0436505272901478
"323",98,187,-0.0391476546887402
"324",153,187,-0.0453086794443638
"325",17,188,0.0192399754241923
"326",61,188,0.158438595863667
"327",171,188,0.089276166126763
"328",9,189,0.2287864469355
"329",28,189,0.0476577012544612
"330",96,189,-0.0719319827381678
"331",180,189,0.111978276297442
"332",10,190,-0.0200647209226741
"333",90,190,0.202870169065003
"334",147,190,0.0306090474088713
"335",58,191,-0.08857060458732
"336",135,191,0.0394794660692729
"337",173,191,0.0636000546189484
"338",82,194,-0.012888031996113
"339",160,195,0.105596397438472
"340",192,195,0.140200395081351
"341",59,196,0.185208135664411
"342",115,196,0.170944250508915
"343",26,197,-0.123291657438105
