"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_243",0,96,41,0,159,0,27,41,41,0,0,10,0,0,88,46,0,0
"OTU_24",356,217,78,257,259,0,46,0,0,565,114,86,723,153,248,241,564,186
"OTU_2433",0,4,0,0,0,0,0,0,5,2,0,5,0,11,7,0,0,3
"OTU_2434",3,0,10,0,3,0,0,0,6,0,5,10,0,6,0,3,0,5
"OTU_2437",0,17,16,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"OTU_2438",0,0,16,16,0,0,0,0,0,0,0,13,0,12,0,0,0,0
"OTU_2442",0,0,0,0,12,0,4,0,0,0,14,0,0,0,0,19,0,10
"OTU_244",44,37,52,60,47,19,54,57,42,32,38,51,63,71,57,43,41,59
"OTU_2452",22,0,0,0,0,0,11,0,0,0,0,0,5,0,9,0,0,7
"OTU_2455",0,0,7,9,4,0,0,0,0,0,6,0,8,0,0,0,9,0
"OTU_245",40,41,47,53,59,33,25,77,69,53,30,60,52,36,36,59,72,52
"OTU_2457",0,0,0,0,0,0,2,0,0,0,0,0,0,3,13,0,17,0
"OTU_2459",11,0,0,3,10,0,0,0,0,0,16,0,0,0,0,13,0,0
"OTU_2460",13,0,0,0,15,0,14,16,0,0,0,0,0,0,0,0,0,0
"OTU_246",21,35,0,0,0,0,41,104,26,13,108,118,91,135,125,0,35,80
"OTU_2462",0,0,14,0,0,0,8,0,11,0,0,0,0,0,12,4,0,6
"OTU_2464",0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,26,0,17
"OTU_2465",0,0,0,0,13,0,12,0,0,0,9,0,19,0,0,8,0,0
"OTU_2469",0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,16,0,18
"OTU_2470",0,0,0,0,0,0,0,0,0,12,10,0,21,14,0,0,0,0
"OTU_2475",0,0,0,4,0,0,0,5,0,0,5,4,0,5,0,0,0,0
"OTU_247",41,75,72,62,71,0,0,0,31,31,44,64,59,41,75,77,52,71
"OTU_2478",0,7,0,0,0,0,14,16,7,0,0,0,0,0,0,0,0,0
"OTU_2479",0,0,9,0,8,0,0,9,4,0,0,0,8,6,0,0,0,0
"OTU_2481",0,7,0,0,0,0,9,0,0,3,9,0,0,8,9,0,0,0
"OTU_2483",0,0,0,7,10,2,0,0,0,0,0,0,0,0,18,0,0,0
"OTU_248",44,62,50,37,38,0,59,28,52,50,43,45,36,37,22,24,79,39
"OTU_2489",12,0,0,0,8,0,0,16,0,0,9,0,0,0,14,0,0,0
"OTU_2490",8,0,0,0,0,0,0,0,0,0,0,0,9,18,0,16,0,0
"OTU_2",224,121,94,42,92,294,98,90,206,62,51,79,62,66,176,49,302,295
"OTU_2492",0,0,13,0,0,0,0,0,7,0,0,0,0,0,0,23,0,15
"OTU_2493",0,0,16,0,0,0,0,19,0,0,0,10,0,0,0,8,0,0
"OTU_249",52,47,42,53,81,0,22,29,71,13,73,72,35,76,70,44,52,69
"OTU_2497",0,0,0,0,0,0,0,9,0,0,0,9,0,20,0,0,0,17
"OTU_2500",0,0,0,0,0,0,0,0,0,0,0,0,15,14,10,16,0,0
"OTU_2504",0,0,0,4,10,0,0,16,0,0,3,0,5,6,0,0,0,8
"OTU_250",56,27,60,45,38,0,34,56,50,21,75,86,58,64,64,78,46,74
"OTU_2509",21,0,16,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"OTU_2510",8,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,14
"OTU_2511",8,12,0,0,0,0,0,0,0,0,0,0,0,0,22,0,12,0
"OTU_251",89,69,72,104,58,0,0,103,78,32,114,0,47,0,76,40,45,0
"OTU_2512",8,0,0,0,0,0,0,17,0,0,0,5,0,0,6,0,17,0
"OTU_2513",0,11,8,0,0,0,18,0,0,0,0,0,9,0,0,9,0,0
"OTU_2517",0,0,0,9,0,0,0,5,7,0,0,22,0,0,0,0,0,12
"OTU_2518",0,0,0,14,0,0,0,11,10,0,0,0,0,11,9,0,0,0
"OTU_2523",0,0,0,0,0,0,7,28,0,9,5,0,8,0,0,0,0,0
"OTU_2524",0,0,0,0,0,0,25,0,0,0,0,0,13,0,0,0,10,9
