"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_355",48,82,74,59,51,7,0,44,28,0,0,0,0,0,34,0,35,0
"OTU_358",3,15,0,0,0,631,0,0,0,0,0,0,0,13,0,0,0,13
"OTU_359",118,65,95,64,80,0,0,65,0,0,0,31,0,0,0,0,0,0
"OTU_364",0,14,154,0,5,20,2,0,330,14,3,29,0,0,9,2,0,2
"OTU_365",8,5,39,0,0,226,0,0,10,0,0,7,199,0,0,22,0,7
"OTU_369",0,0,16,0,0,0,0,0,0,326,0,12,12,0,22,15,0,17
"OTU_370",62,28,0,25,16,159,45,37,16,0,12,110,0,0,45,0,0,84
"OTU_371",7,65,49,40,24,0,12,18,21,0,34,22,23,60,43,26,32,20
"OTU_373",0,32,6,13,0,36,30,0,29,200,3,11,4,4,11,0,14,5
"OTU_382",24,57,28,26,53,0,3,16,0,8,6,10,12,0,0,10,26,0
"OTU_386",33,68,26,39,54,13,8,17,0,9,19,17,18,56,31,11,11,50
"OTU_396",0,41,0,0,0,47,0,0,0,13,0,0,0,2,0,0,129,0
"OTU_399",23,0,0,29,43,0,0,87,74,12,33,87,0,49,39,0,29,0
"OTU_401",68,0,11,8,0,14,284,8,38,5,3,14,5,20,20,0,0,16
"OTU_404",28,52,43,21,94,0,18,32,17,13,40,0,53,17,0,0,0,70
"OTU_406",14,0,0,0,0,0,0,0,77,147,23,19,0,0,49,51,0,16
"OTU_407",0,0,0,0,64,0,0,0,0,0,0,0,0,0,71,0,54,79
"OTU_413",410,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_418",24,55,0,32,26,0,16,31,13,0,9,120,3,53,17,13,0,11
"OTU_421",0,0,34,0,37,0,53,54,0,24,48,46,50,66,0,58,0,40
"OTU_423",10,0,6,9,5,0,38,18,12,15,17,70,17,30,55,42,35,36
"OTU_431",12,45,12,4,0,0,5,11,13,3,13,183,0,0,12,2,0,4
"OTU_439",29,47,37,71,24,0,0,17,22,0,15,52,16,21,42,20,12,0
"OTU_440",0,0,0,0,0,0,33,7,0,10,52,41,25,49,83,22,23,108
"OTU_446",8,72,60,22,22,21,0,23,66,32,12,44,0,0,50,10,6,18
"OTU_447",16,0,106,43,0,413,31,51,0,0,0,0,0,0,0,0,0,0
"OTU_452",25,33,0,0,60,344,0,34,0,0,0,0,0,18,0,0,0,0
"OTU_454",24,47,30,22,18,28,21,19,60,32,29,44,0,10,32,14,0,14
"OTU_458",14,10,5,7,17,0,12,55,0,5,53,37,24,66,46,50,15,58
