,node1,node2,weight2,weight,i,j,weight2
170,rpoB_OTU_89,rpoB_OTU_169,-0.005669584,0.005669584,r,r,-0.005669584
171,rpoB_OTU_89,AMF_OTU_15,0.029025037,0.029025037,r,A,-0.029025037
172,rpoB_OTU_89,AMF_OTU_159,0.040172308,0.040172308,r,A,-0.040172308
173,rpoB_OTU_89,AMF_OTU_203,0.051104675,0.051104675,r,A,-0.051104675
174,rpoB_OTU_93,rpoB_OTU_134,0.068569128,0.068569128,r,r,-0.068569128
175,rpoB_OTU_93,rpoB_OTU_261,0.086026365,0.086026365,r,r,-0.086026365
176,rpoB_OTU_93,rpoB_OTU_307,0.066840407,0.066840407,r,r,-0.066840407
177,rpoB_OTU_93,rpoB_OTU_309,0.190058391,0.190058391,r,r,-0.190058391
178,rpoB_OTU_93,rpoB_OTU_325,0.052384034,0.052384034,r,r,-0.052384034
179,rpoB_OTU_93,AMF_OTU_112,0.065511364,0.065511364,r,A,-0.065511364
180,rpoB_OTU_93,AMF_OTU_139,0.136298156,0.136298156,r,A,-0.136298156
181,rpoB_OTU_94,rpoB_OTU_202,-0.02504762,0.02504762,r,r,-0.02504762
182,rpoB_OTU_94,rpoB_OTU_255,-0.033346425,0.033346425,r,r,-0.033346425
183,rpoB_OTU_94,rpoB_OTU_260,-0.064919211,0.064919211,r,r,-0.064919211
184,rpoB_OTU_94,rpoB_OTU_452,0.144385059,0.144385059,r,r,-0.144385059
185,rpoB_OTU_94,AMF_OTU_33,0.02799036,0.02799036,r,A,-0.02799036
186,rpoB_OTU_94,AMF_OTU_46,0.001147372,0.001147372,r,A,-0.001147372
187,rpoB_OTU_96,rpoB_OTU_130,0.068900669,0.068900669,r,r,-0.068900669
188,rpoB_OTU_96,AMF_OTU_103,-0.00466911,0.00466911,r,A,-0.00466911
189,rpoB_OTU_96,AMF_OTU_192,0.025212241,0.025212241,r,A,-0.025212241
190,rpoB_OTU_96,AMF_OTU_201,0.034361825,0.034361825,r,A,-0.034361825
191,rpoB_OTU_96,AMF_OTU_206,0.102396122,0.102396122,r,A,-0.102396122
192,rpoB_OTU_98,rpoB_OTU_120,0.004393263,0.004393263,r,r,-0.004393263
193,rpoB_OTU_98,rpoB_OTU_198,0.022436078,0.022436078,r,r,-0.022436078
194,rpoB_OTU_98,rpoB_OTU_232,0.038123072,0.038123072,r,r,-0.038123072
195,rpoB_OTU_98,rpoB_OTU_371,0.013423718,0.013423718,r,r,-0.013423718
196,rpoB_OTU_98,AMF_OTU_106,0.163395639,0.163395639,r,A,-0.163395639
197,rpoB_OTU_98,AMF_OTU_196,0.037564166,0.037564166,r,A,-0.037564166
198,rpoB_OTU_98,AMF_OTU_74,0.249556244,0.249556244,r,A,-0.249556244
199,rpoB_OTU_98,AMF_OTU_81,-0.052874004,0.052874004,r,A,-0.052874004
200,rpoB_OTU_102,rpoB_OTU_137,0.073247411,0.073247411,r,r,-0.073247411
201,rpoB_OTU_102,rpoB_OTU_163,0.237179398,0.237179398,r,r,-0.237179398
202,rpoB_OTU_102,rpoB_OTU_164,0.042922615,0.042922615,r,r,-0.042922615
203,rpoB_OTU_102,rpoB_OTU_175,0.07629842,0.07629842,r,r,-0.07629842
204,rpoB_OTU_102,rpoB_OTU_216,0.074240813,0.074240813,r,r,-0.074240813
205,rpoB_OTU_102,rpoB_OTU_279,0.015258625,0.015258625,r,r,-0.015258625
206,rpoB_OTU_102,rpoB_OTU_281,0.352406349,0.352406349,r,r,-0.352406349
207,rpoB_OTU_107,rpoB_OTU_125,0.040808478,0.040808478,r,r,-0.040808478
208,rpoB_OTU_107,rpoB_OTU_137,0.026601143,0.026601143,r,r,-0.026601143
209,rpoB_OTU_107,rpoB_OTU_160,0.003346297,0.003346297,r,r,-0.003346297
210,rpoB_OTU_107,rpoB_OTU_164,0.295358502,0.295358502,r,r,-0.295358502
211,rpoB_OTU_107,rpoB_OTU_191,0.009435045,0.009435045,r,r,-0.009435045
212,rpoB_OTU_107,rpoB_OTU_306,-0.009765582,0.009765582,r,r,-0.009765582
213,rpoB_OTU_108,rpoB_OTU_149,0.000395722,0.000395722,r,r,-0.000395722
214,rpoB_OTU_108,rpoB_OTU_160,0.021835092,0.021835092,r,r,-0.021835092
215,rpoB_OTU_108,rpoB_OTU_198,0.140477427,0.140477427,r,r,-0.140477427
216,rpoB_OTU_108,rpoB_OTU_203,-0.001232628,0.001232628,r,r,-0.001232628
217,rpoB_OTU_108,AMF_OTU_13,0.019298055,0.019298055,r,A,-0.019298055
218,rpoB_OTU_110,rpoB_OTU_202,0.330551446,0.330551446,r,r,-0.330551446
219,rpoB_OTU_110,AMF_OTU_179,0.540803678,0.540803678,r,A,-0.540803678
220,rpoB_OTU_110,AMF_OTU_80,0.02540386,0.02540386,r,A,-0.02540386
221,rpoB_OTU_112,rpoB_OTU_139,0.016796956,0.016796956,r,r,-0.016796956
222,rpoB_OTU_112,rpoB_OTU_296,-0.046699238,0.046699238,r,r,-0.046699238
223,rpoB_OTU_112,AMF_OTU_173,0.002201439,0.002201439,r,A,-0.002201439
224,rpoB_OTU_112,AMF_OTU_24,0.187419984,0.187419984,r,A,-0.187419984
225,rpoB_OTU_112,AMF_OTU_41,-0.011946526,0.011946526,r,A,-0.011946526
226,rpoB_OTU_112,AMF_OTU_46,-0.010734696,0.010734696,r,A,-0.010734696
227,rpoB_OTU_112,AMF_OTU_83,-0.010955051,0.010955051,r,A,-0.010955051
228,rpoB_OTU_116,rpoB_OTU_176,0.007535394,0.007535394,r,r,-0.007535394
229,rpoB_OTU_116,rpoB_OTU_186,0.312978071,0.312978071,r,r,-0.312978071
230,rpoB_OTU_116,rpoB_OTU_255,0.107127762,0.107127762,r,r,-0.107127762
231,rpoB_OTU_116,rpoB_OTU_257,-0.1553602,0.1553602,r,r,-0.1553602
232,rpoB_OTU_116,AMF_OTU_204,0.079910954,0.079910954,r,A,-0.079910954
233,rpoB_OTU_116,AMF_OTU_70,0.027137299,0.027137299,r,A,-0.027137299
234,rpoB_OTU_120,rpoB_OTU_178,0.138233229,0.138233229,r,r,-0.138233229
235,rpoB_OTU_120,rpoB_OTU_198,0.119318692,0.119318692,r,r,-0.119318692
236,rpoB_OTU_120,rpoB_OTU_223,0.007684691,0.007684691,r,r,-0.007684691
237,rpoB_OTU_120,rpoB_OTU_232,0.037974756,0.037974756,r,r,-0.037974756
238,rpoB_OTU_120,rpoB_OTU_286,0.008597635,0.008597635,r,r,-0.008597635
239,rpoB_OTU_120,rpoB_OTU_289,0.009121089,0.009121089,r,r,-0.009121089
240,rpoB_OTU_124,rpoB_OTU_325,0.076470664,0.076470664,r,r,-0.076470664
241,rpoB_OTU_124,AMF_OTU_147,0.1631911,0.1631911,r,A,-0.1631911
242,rpoB_OTU_124,AMF_OTU_18,0.031227084,0.031227084,r,A,-0.031227084
243,rpoB_OTU_124,AMF_OTU_38,0.099514797,0.099514797,r,A,-0.099514797
244,rpoB_OTU_125,rpoB_OTU_307,-0.107250793,0.107250793,r,r,-0.107250793
245,rpoB_OTU_125,AMF_OTU_149,-0.048623391,0.048623391,r,A,-0.048623391
246,rpoB_OTU_125,AMF_OTU_51,0.101350666,0.101350666,r,A,-0.101350666
247,rpoB_OTU_125,AMF_OTU_61,0.060529376,0.060529376,r,A,-0.060529376
