"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_283",0,0,13,238,0,0,0,0,0,0,8,0,0,0,9,10,0,0
"OTU_284",0,0,0,0,0,17,0,0,62,0,0,119,0,0,0,0,106,0
"OTU_288",0,201,14,0,6,0,0,0,0,0,0,0,0,0,0,0,29,0
"OTU_289",0,0,0,0,0,0,6,260,0,0,7,0,0,0,0,13,0,0
"OTU_292",0,0,0,0,0,9,0,0,32,0,0,185,0,0,0,0,30,0
"OTU_29",140,0,0,50,0,2761,64,0,1537,0,0,2442,35,50,0,0,1614,0
"OTU_296",4,0,0,0,0,0,0,0,51,0,0,189,0,0,4,0,0,0
"OTU_298",0,0,0,0,0,0,0,0,47,0,0,155,0,0,0,0,38,4
"OTU_300",0,0,0,0,0,7,0,0,98,0,0,78,0,0,0,0,66,0
"OTU_302",0,5,0,0,0,0,0,0,0,179,0,45,0,0,10,0,0,0
"OTU_303",0,5,0,0,0,0,10,0,90,0,0,51,0,0,0,0,96,0
"OTU_304",0,0,2,58,0,0,0,0,4,0,0,72,0,0,0,0,100,0
"OTU_306",0,0,0,0,0,0,0,0,16,0,0,191,6,4,2,0,38,0
"OTU_307",0,7,0,0,0,0,0,0,132,17,0,0,0,0,0,0,66,0
"OTU_30",54,84,96,63,55,0,48,37,0,58,8544,0,36,71,42,52,9,168
"OTU_311",0,7,2,0,0,0,0,128,0,3,0,0,1,4,4,0,19,64
"OTU_31",1172,249,99,3531,708,223,54,0,0,396,92,0,38,48,266,637,519,88
"OTU_313",0,0,0,0,2,0,0,204,0,0,0,0,0,0,1,0,11,1
"OTU_314",0,0,0,0,0,15,0,0,29,0,0,36,0,141,0,0,0,0
"OTU_319",14,0,0,0,11,0,0,0,9,5,0,144,0,0,0,0,47,0
"OTU_321",12,0,32,5,0,10,17,13,5,9,37,32,7,12,23,14,0,0
"OTU_322",0,0,16,0,0,0,13,5,0,0,0,0,0,12,0,209,0,47
"OTU_325",0,0,0,0,0,0,0,0,6,8,0,213,0,0,0,0,6,0
"OTU_3",1607,2160,16,3850,5557,18,1961,8367,47,8485,155,75,5418,23,1258,15372,546,218
"OTU_32",499,632,76,344,818,0,751,493,5,691,871,46,209,1267,161,892,53,284
"OTU_329",0,0,0,0,0,5,0,0,47,0,0,117,0,0,0,0,43,0
"OTU_330",0,2,0,0,0,0,0,0,34,0,0,148,3,0,0,0,47,0
"OTU_33",0,30,10,0,6,19,0,7520,12,0,0,0,0,2,0,0,10,0
"OTU_335",0,71,9,0,0,0,0,0,0,12,121,0,0,0,0,0,0,0
