"","i","j","x"
"128",57,93,-0.00837348675111924
"129",76,93,0.270156624136826
"130",23,94,0.0580222703557801
"131",33,94,0.0572877763043239
"132",47,94,0.107586260113507
"133",55,94,0.052136945046467
"134",77,94,0.0541566923408245
"135",83,94,0.0094767481604093
"136",47,95,0.157799907249406
"137",1,97,0.329624316928412
"138",7,97,-0.0207491146974026
"139",69,97,0.0437573875319347
"140",74,97,-0.214730153738721
"141",24,98,0.0154423634343769
"142",5,99,0.147200636058197
"143",7,99,-0.0468656926673908
"144",9,99,-0.0396138202483319
"145",40,99,0.13319004503789
"146",74,99,-0.0237934353334593
"147",6,100,-0.00603557964374485
"148",89,100,-0.0493081929563341
"149",4,101,0.196811293967112
"150",25,101,-0.0996426049244749
"151",63,101,0.0180162839841372
"152",95,101,0.126894648037931
"153",44,102,0.14694461319993
"154",73,102,0.107882994491195
"155",50,103,0.302723717495913
"156",57,103,0.00219015779491527
"157",67,103,0.0985771899540282
"158",86,103,0.179900791108831
"159",27,104,0.130974068520127
"160",51,104,0.0316652416247976
"161",80,104,-0.259063333028888
"162",88,105,0.0395771033503374
"163",4,106,0.234515874363971
"164",94,106,0.0093118119890265
"165",95,106,0.0937104512208354
"166",34,107,0.143963364963466
"167",83,107,0.00471836542115084
"168",94,107,0.386368519719475
"169",9,108,0.0861373422286996
"170",36,108,0.0706867309464685
"171",98,108,0.182784868448331
"172",9,109,-0.146358118724803
"173",108,109,-0.108541284608913
"174",28,110,0.0225478904309449
"175",33,110,-0.0475606391185099
"176",37,110,-0.0346368466637682
"177",45,110,0.0664180903229388
"178",74,110,0.120634694784538
"179",36,111,0.0324772964992144
"180",43,111,-0.066798050896488
"181",56,111,0.0156377639691907
"182",4,112,0.130706328837582
"183",33,112,0.00387276475523438
"184",36,112,-0.0677035791476077
"185",39,112,0.0323194329317515
"186",50,112,0.0353171996635793
"187",55,112,0.00901034579716889
"188",87,112,0.0111261128565062
"189",94,112,0.206377708681781
"190",95,112,0.0144505517217924
"191",110,112,-0.0557413439173555
"192",99,113,0.170112162642954
"193",6,114,0.0644842812093446
"194",27,114,0.131209995665206
"195",39,114,0.0698353011431202
"196",55,114,0.0290284860005023
"197",56,114,0.0127092914437696
"198",106,114,0.04541538048225
"199",38,116,0.233694490707653
"200",35,117,0.287685082957899
"201",57,117,0.0397363209678711
"202",31,118,0.174312473885246
"203",52,118,-0.00450908103508779
"204",80,118,0.106162058889311
"205",102,118,0.0149121451004818
"206",111,118,0.0165170128643539
"207",117,118,0.0352982147193658
"208",12,119,0.0238086168438286
"209",24,120,0.171746451077139
"210",46,120,0.0696416208178813
"211",52,120,-0.132428710377624
"212",80,120,0.173038964527242
"213",13,121,-0.0234567238239906
"214",47,121,-0.00737010705252475
"215",48,121,0.207511320079423
"216",72,121,-0.00138653028719832
"217",102,121,0.192743740362702
"218",29,122,-0.153312316697298
"219",53,122,0.00392065480319276
"220",69,122,0.0745730367246808
"221",7,123,0.151715429727581
"222",25,123,0.0420931546047499
"223",50,123,0.115039234220687
"224",102,123,0.12175673819096
"225",118,123,0.00939813214873317
"226",7,124,0.184131290523121
"227",8,124,0.0170289669533635
"228",29,124,0.0403340018885314
"229",42,124,-0.227798314948093
"230",55,124,0.120247469654702
"231",73,124,0.131290565153504
"232",79,124,0.0220085890152933
"233",67,125,0.0826397651854789
"234",78,125,0.0874188331049386
"235",1,126,0.110431835573805
"236",5,127,0.106350215056988
"237",6,127,0.10428054702644
"238",38,127,0.00607092785008209
"239",65,127,0.0477554939300339
"240",70,127,0.134733404533412
"241",12,128,-0.0442555874277041
"242",28,128,-0.00155107627057208
"243",35,128,0.19533478158752
"244",52,128,-0.100759610881298
"245",13,129,0.267674183222002
"246",42,129,-0.0559314647193019
"247",79,129,0.011191934355748
"248",80,129,0.0818177881463822
"249",108,129,0.0412886212563013
"250",124,129,0.040649309005388
"251",11,130,0.111146722383894
"252",15,130,0.214762663591922
"253",52,130,-0.0149935324757512
"254",63,130,0.481490431535326
"255",71,130,0.0522806010232834
"256",120,130,0.0130732146394047
"257",57,131,0.289787794163104
"258",62,131,0.0446402087990969
"259",71,131,0.000654718984536173
"260",86,131,0.111874278190882
"261",103,131,0.0120183969441149
"262",30,132,0.181371530433069
"263",32,132,0.00035525858270144
"264",98,132,0.138517564885072
"265",119,132,0.0173185783211673
"266",9,133,-0.106195435836038
"267",37,133,0.0534201185251902
"268",46,133,0.106333179339353
