"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_10160",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_1016",17,0,0,0,18,0,0,0,9,0,101,11,28,0,0,0,0,15
"OTU_10161",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10162",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10163",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10164",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_10165",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_10166",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"OTU_10167",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10168",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10169",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10170",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_1017",6,0,11,0,0,148,0,0,0,0,0,8,0,0,0,16,0,33
"OTU_10171",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10172",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"OTU_10173",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10174",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10175",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10176",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_10177",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"OTU_10178",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"OTU_10179",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10180",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_1018",0,0,23,0,25,0,12,35,0,0,19,0,0,37,27,0,8,26
"OTU_10181",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10182",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10183",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10184",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10185",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_10186",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_10187",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10188",0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0
"OTU_10189",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_10190",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTU_10191",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"OTU_10192",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"OTU_10193",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
