"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1381","Bacteria","Actinobacteria","Acidimicrobiia","","","",""
"OTU_1382","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter",""
"OTU_1384","Bacteria","","","","","",""
"OTU_1385","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","",""
"OTU_1386","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_bacterium"
"OTU_1387","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_138","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",""
"OTU_1388","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_1389","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1390","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured","",""
"OTU_1391","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_139","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella",""
"OTU_1392","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","",""
"OTU_1393","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_1395","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",""
"OTU_1396","Bacteria","Latescibacteria","","","","",""
"OTU_1397","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caenimonas",""
"OTU_1398","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter",""
"OTU_1400","Bacteria","Latescibacteria","","","","",""
"OTU_1401","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_1402","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","wb1-P19","uncultured_bacterium"
"OTU_1403","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",""
"OTU_1405","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",""
"OTU_1407","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium"
"OTU_1408","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",""
"OTU_140","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae","Inquilinus",""
